SlideID,FOV,TotalSpores
FieldBlank4B_B,10,0.00
FieldBlank4B_B,11,0.00
FieldBlank4B_B,12,0.00
FieldBlank4B_B,13,0.00
FieldBlank4B_B,14,0.00
FieldBlank4B_B,15,0.00
FieldBlank4B_B,16,0.00
FieldBlank4B_B,17,1.00
FieldBlank4B_B,18,0.00
FieldBlank4B_B,19,0.00
FieldBlank4B_B,20,0.00
FieldBlank4B_B,21,0.00
FieldBlank4B_B,22,0.00
FieldBlank4B_B,23,0.00
FieldBlank4B_B,24,0.00
FieldBlank4B_B,25,0.00
FieldBlank4B_B,26,0.00
FieldBlank4B_B,27,2.00
FieldBlank4B_B,28,0.00
FieldBlank4B_B,29,0.00
FieldBlank4B_B,30,0.00
FieldBlank4B_B,31,0.00
FieldBlank4B_B,32,0.00
FieldBlank4B_B,33,0.00
FieldBlank4B_B,34,0.00
FieldBlank4B_B,35,0.00
FieldBlank4B_B,36,0.00
FieldBlank4B_B,37,0.00
FieldBlank4B_B,38,0.00
FieldBlank4B_B,39,0.00
FieldBlank4B_B,40,0.00
B5B_B,1,0.00
B5B_B,2,0.00
B5B_B,3,1.00
B5B_B,4,0.00
B5B_B,5,0.00
B5B_B,6,0.00
B5B_B,7,1.00
B5B_B,8,0.00
B5B_B,9,0.00
B5B_B,10,1.00
B5B_B,11,1.00
B5B_B,12,0.00
B5B_B,13,0.00
B5B_B,14,0.00
B5B_B,15,1.00
B5B_B,16,3.00
B5B_B,17,5.00
B5B_B,18,0.00
B5B_B,19,3.00
B5B_B,20,1.00
B5B_B,21,1.00
B5B_B,22,0.00
B5B_B,23,0.00
B5B_B,24,1.00
B5B_B,25,0.00
B5B_B,26,0.00
B5B_B,27,1.00
B5B_B,28,0.00
B5B_B,29,1.00
B5B_B,30,1.00
B5B_B,31,2.00
B5B_B,32,0.00
B5B_B,33,1.00
B5B_B,34,0.00
B5B_B,35,0.00
B5B_B,36,0.00
B5B_B,37,1.00
B5B_B,38,3.00
B5B_B,39,0.00
B5B_B,40,1.00
